stadium_name,stadium_city,stadium_state,stadium_country,stadium_active,stadium_deleted,stadium_timezone
Fatullah Osmani Stadium,Fatullah, Narayanganj District,Bangladesh,TRUE,FALSE,Asia/Dhaka
Holkar Cricket Stadium (formerly Maharani Usharaje Trust Cricket Ground),Indore, Madhya Pradesh,India,TRUE,FALSE,Asia/Kolkata
Sheikh Zayed Cricket Stadium,Abu Dhabi, United Arab Emirates,United Arab Emirates,TRUE,FALSE,Asia/Dubai
Warner Park,Basseterre, Saint Kitts and Nevis (West Indies),St Kitts & Nevis,TRUE,FALSE,America/St_Kitts
Civil Service Cricket Club Ground (Stormont),Belfast, County Antrim,Northern Ireland,TRUE,FALSE,Europe/Belfast
Cambusdoon New Ground,Ayr, Ayrshire,Scotland,TRUE,FALSE,Europe/London
Kinrara Academy Oval,Puchong, Kuala Lumpur,Malaysia,TRUE,FALSE,Asia/Kuala_Lumpur
Mombasa Sports Club Ground,Mombasa, Coast Province,Kenya,TRUE,FALSE,Africa/Nairobi
Shere-e-Bangla Stadium,Mirpur, Dhaka Division,Bangladesh,TRUE,FALSE,Asia/Dhaka
Jaffery Sports Club Ground,Nairobi, Nairobi County,Kenya,TRUE,FALSE,Africa/Nairobi
Ruaraka Sports Club Ground,Nairobi, Nairobi County,Kenya,TRUE,FALSE,Africa/Nairobi
Sir Vivian Richards Stadium,Antigua, Antigua & Barbuda (West Indies),Antigua & Barbuda,TRUE,FALSE,America/Antigua
Providence Stadium,Providence, Guyana (West Indies),Guyana,TRUE,FALSE,America/Guyana
Titwood,Glasgow, Strathclyde,Scotland,TRUE,FALSE,Europe/London
Hazelaarweg Stadion,Rotterdam, South Holland,Netherlands,TRUE,FALSE,Europe/Amsterdam
Maple Leaf North-West Ground,King City, Ontario,Canada,TRUE,FALSE,Canada/Eastern
Mannofield Park,Aberdeen,Aberdeen,Scotland,TRUE,FALSE,Europe/London
Dubai International Cricket Stadium(Dubai Sports City Stadium),Dubai, United Arab Emirates,United Arab Emirates,TRUE,FALSE,Asia/Dubai
Windsor Park,Roseau, Dominica (West Indies),Dominica,TRUE,FALSE,America/Dominica
Vidarbha Cricket Association Stadium (Jamtha),Nagpur, Maharashtra,India,TRUE,FALSE,Asia/Kolkata
University Oval,Dunedin, Otago,New Zealand,TRUE,FALSE,Pacific/Auckland
Sportpark Westvliet,Voorburg, South Holland,Netherlands,TRUE,FALSE,Europe/Amsterdam
Sportpark Thurlede,Schiedam, South Holland,Netherlands,TRUE,FALSE,Europe/Amsterdam
Mahinda Rajapaksa International Stadium(Hambantota Cricket Stadium),Hambantota, Southern Province,Sri Lanka,TRUE,FALSE,Asia/Colombo
Pallekele International Cricket Stadium,Pallekele, Kandy,Sri Lanka,TRUE,FALSE,Asia/Colombo
Cobham Oval (New),Whangarei, Northland,New Zealand,TRUE,FALSE,Pacific/Auckland
Saurashtra Cricket Association Stadium(Khanderi Cricket Stadium),Rajkot, Saurashtra,India,TRUE,FALSE,Asia/Kolkata
JSCA International Cricket Stadium,Ranchi, Jharkhand,India,TRUE,FALSE,Asia/Kolkata
Himachal Pradesh Cricket Association Stadium,Dharamshala, Himachal Pradesh,India,TRUE,FALSE,Asia/Kolkata
ICC Global Cricket Academy,Dubai, United Arab Emirates,United Arab Emirates,TRUE,FALSE,Asia/Dubai
Malahide Cricket Club Ground (The Village),Dublin,Dublin,Ireland,TRUE,FALSE,Europe/Dublin
Maharashtra Cricket Association Stadium,Pune, Maharashtra,India,TRUE,FALSE,Asia/Kolkata
Saxton Oval,Nelson, Nelson (Region),New Zealand,TRUE,FALSE,Pacific/Auckland
Hagley Oval,Christchurch, Canterbury,New Zealand,TRUE,FALSE,Pacific/Auckland
Bert Sutcliffe Oval,Lincoln, Canterbury,New Zealand,TRUE,FALSE,Pacific/Auckland
Bay Oval,Mount Maunganui, Bay of Plenty,New Zealand,TRUE,FALSE,Pacific/Auckland
Bayuemas Oval,Pandamaran, Kuala Lumpur,Malaysia,TRUE,FALSE,Asia/Kuala_Lumpur
Tony Ireland Stadium,Townsville, Queensland,Australia,TRUE,FALSE,Australia/Queensland
Mission Road Ground,Mong Kok, Hong Kong,Hong Kong,TRUE,FALSE,Asia/Hong_Kong
Greater Noida Sports Complex Ground,Greater Noida, Uttar Pradesh,India,TRUE,FALSE,Asia/Kolkata
Amini Park,Port Moresby, Papua New Guinea,PNG,TRUE,FALSE,Pacific/Port_Moresby
Perth Stadium,Burswood, Western Australia,Australia,TRUE,FALSE,Australia/Perth
Old Hararians,Harare,Harare,Zimbabwe,TRUE,FALSE,Africa/Harare
Dr. Bhupen Hazarika Cricket Stadium  (Barsapara Cricket Stadium),Guwahati, Assam,India,TRUE,FALSE,Asia/Kolkata
Greenfield International Stadium  (Trivandrum University Stadium),Kerala, Thiruvananthapuram,India,TRUE,FALSE,Asia/Kolkata
Sylhet International Cricket Stadium  (Sylhet Divisional Stadium),Sylhet, Sylhet Division,Bangladesh,TRUE,FALSE,Asia/Dhaka
Rajiv Gandhi International Cricket Stadium,Dehradun, Uttarakhand,India,TRUE,FALSE,Asia/Kolkata
